id,current,proposed,action,why
wellesley-college,,https://npc.collegeboard.org/student/app/wellesley,fill,Scorecard link loads
bowdoin-college,,https://npc.collegeboard.org/app/bowdoin,fill,Scorecard link loads
middlebury-college,,https://npc.collegeboard.org/app/middlebury,fill,Scorecard link loads
carleton-college,,https://www.carleton.edu/admissions/apply/afford/aid-estimators/npc/,fill,Scorecard link loads
colgate-university,https://www.colgate.edu/admission-aid/financial-aid/estimate-your-aid,https://npc.collegeboard.org/app/colgate,replace,Scorecard link loads
vassar-college,,https://npc.collegeboard.org/student/app/vassar,fill,Scorecard link loads
hamilton-college,,https://npc.collegeboard.org/app/hamilton,fill,Scorecard link loads
colby-college,,https://npc.collegeboard.org/app/colby,fill,Scorecard link loads
bates-college,,https://npc.collegeboard.org/app/bates,fill,Scorecard link loads
duke-university,,https://npc.collegeboard.org/student/app/duke,fill,Scorecard link loads
university-of-chicago,,https://financialaid.uchicago.edu/undergraduate/resources-and-tools/net-price-calculator/,fill,Scorecard link loads
northwestern-university,,https://npc.collegeboard.org/student/app/northwestern,fill,Scorecard link loads
vanderbilt-university,,,leave empty,Scorecard link failed and could not be confirmed
rice-university,,https://financialaid.rice.edu/cost-attendance/estimate-your-cost,fill,Scorecard link loads (read in the browser)
johns-hopkins-university,,https://npc.collegeboard.org/student/app/jhu,fill,Scorecard link loads
georgetown-university,,,skip,"Scorecard link is a general cost page, not a calculator"
worcester-polytechnic-institute,,https://www.wpi.edu/admissions/tuition-aid/financial-need/net-price-calculator,fill,Scorecard link loads
case-western-reserve-university,,https://case.edu/financialaid/resources/net-price-calculator/,fill,Scorecard link loads
rochester-institute-of-technology,,https://npc.collegeboard.org/app/rit,fill,Scorecard link loads
stevens-institute-of-technology,,https://npc.collegeboard.org/app/stevens,fill,Scorecard link loads
university-of-rochester,,https://www.rochester.edu/financial-aid/undergraduate-cost-calculators/#college-board,fill,Scorecard link loads
university-of-virginia,,https://npc.collegeboard.org/student/app/virginia,fill,Scorecard link loads
ohio-state-university,,https://sfa.osu.edu/incoming-freshmen/about-aid/net-price-calculator,fill,Scorecard link loads
penn-state-university,,,skip,"Scorecard link is a general cost page, not a calculator"
university-of-wisconsin-madison,,https://financialaid.wisc.edu/net-price-calculator/,fill,Scorecard link loads
indiana-university-bloomington,,,skip,"Scorecard link is a general cost page, not a calculator"
university-of-maryland,,https://financialaid.umd.edu/resources-policies/net-price-calculator,fill,Scorecard link loads
rutgers-university,,https://scarlethub.rutgers.edu/financial-services/tools-resources/net-price-calculator/,fill,Scorecard link loads
university-of-arizona,,https://financialaid.arizona.edu/cost/npc,fill,Scorecard link loads
university-of-colorado-boulder,,https://ofa.colorado.edu/netpricecalculator/,fill,Scorecard link loads
texas-am-university,,,skip,"Scorecard link is a general cost page, not a calculator"
miami-university-ohio,,https://miamioh.edu/onestop/paying-for-college/costs/net-price-calculators/index.html,fill,Scorecard link loads
baylor-university,,https://www.baylor.edu/sfs/netpricecalculator/npcalc.htm,fill,Scorecard link loads
texas-christian-university,,https://financialaid.tcu.edu/cost/net-price-calculator.php,fill,Scorecard link loads
southern-methodist-university,,https://www.smu.edu/enrollment-services/student-financial-services/cost-and-payment/net-price-calculator,fill,Scorecard link loads
university-of-denver,,https://www.du.edu/financialaid/undergraduate/calculator/,fill,Scorecard link loads
elon-university,,https://www.elon.edu/u/admissions/undergraduate/financial-aid/tuition-and-aid/,fill,Scorecard link loads
university-of-vermont,,https://www.uvm.edu/studentfinancialservices/net_price_calculator,fill,Scorecard link loads
university-of-delaware,,https://www.udel.edu/apply/undergraduate-admissions/financing-your-degree/net-price-calculator/,fill,Scorecard link loads
drexel-university,,https://drexel.edu/drexelcentral/finaid/prospective-students/net-price-calculator/,fill,Scorecard link loads
temple-university,,https://sfs.temple.edu/sites/sfs/files/NetPrice.html,replace,Scorecard link 404s; the school lists this capitalised address
university-of-connecticut,,https://financialaid.uconn.edu/pricecalc/,fill,Scorecard link loads
clemson-university,,https://netprice.app.clemson.edu/calc/,fill,Scorecard link loads
michigan-state-university,,https://msu.clearcostcalculator.com/student/default/netpricecalculator/survey,fill,Scorecard link loads
university-of-iowa,,https://admissions.uiowa.edu/finances/net-price-calculator,fill,Scorecard link loads
university-of-kansas,,,skip,"Scorecard link is a general cost page, not a calculator"
new-york-university,,https://www.nyu.edu/admissions/financial-aid-and-scholarships/applying-and-planning-for-undergraduate-aid/estimate-your-cost.html,fill,Scorecard link loads
emory-university,,https://npc.collegeboard.org/app/emory,fill,Scorecard link loads
washington-university-in-st-louis,https://financialaid.washu.edu/net-price-calculator/,https://financialaid.washu.edu/costs/cost-calculators/net-price-calculator,replace,Scorecard link loads
boston-university,,https://www.bu.edu/finaid/aid-basics/cost-of-education/net-price-calculator/,fill,Scorecard link loads
tulane-university,,https://admission.tulane.edu/tuition-aid/net-price-calculator,fill,Scorecard link loads
boston-college,,https://npc.collegeboard.org/student/app/bc,fill,Scorecard link loads
university-of-miami,,https://npc.collegeboard.org/app/miami,fill,Scorecard link loads
wake-forest-university,,https://npc.collegeboard.org/student/app/wfu,fill,Scorecard link loads
villanova-university,,https://npc.collegeboard.org/student/app/villanova,fill,Scorecard link loads
university-of-georgia,,https://osfa.uga.edu/sites/default/files/npcalc.htm,fill,Scorecard link loads
syracuse-university,,https://www.syracuse.edu/admissions-aid/tuition-fees/undergraduate-costs/net-price-calculator/,fill,Scorecard link loads
