id,current,proposed,action,reason
san-diego-state-university,https://sacd.sdsu.edu/financial-aid/financial-aid/eligibility/cost-of-attendance/net-price-calculator,https://sacd.sdsu.edu/financial-aid/financial-aid/eligibility/cost-of-attendance/net-price-calculator,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
cal-poly-pomona,,https://www.cpp.edu/financial-aid/resources/net-price-calculator.shtml,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
csu-long-beach,,,leave empty,No working calculator confirmed; both known Long Beach calculator addresses (web.csulb.edu/depts/enrollment/financial-aid/ficalculator/ and web.csulb.edu/lb/ficalculator/) return 404.
stanford-university,https://financialaid.stanford.edu/undergrad/how/calculator/index.html,https://financialaid.stanford.edu/undergrad/how/calculator/index.html?tab=net-price-calculator,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-southern-california,https://atweb.usc.edu/npc/,https://financialaid.usc.edu/npc,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
santa-clara-university,https://npc.collegeboard.org/student/app/scu,https://www.scu.edu/financialaid/Net-Price-Calculator.cfm,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
massachusetts-institute-of-technology,https://sfs.mit.edu/undergraduate-students/the-cost-of-attendance/estimate-your-cost/,https://npc.collegeboard.org/app/mit,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
carnegie-mellon-university,https://npc.collegeboard.org/app/cmu,https://www.cmu.edu/admission/costs-aid/net-price-calculator,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
harvard-university,https://college.harvard.edu/financial-aid/net-price-calculator,https://college.harvard.edu/financial-aid/net-price-calculator,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
princeton-university,https://admission.princeton.edu/cost-aid/financial-aid-estimator,https://admission.princeton.edu/cost-aid/financial-aid-estimator,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
yale-university,https://finaid.yale.edu/estimate,https://admissions.yale.edu/estimate-your-cost,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
columbia-university,,https://cc-seas.financialaid.columbia.edu/estimate-cost,fill,Scorecard link loads and is a calculator (page title names a calculator/estimator)
university-of-pennsylvania,https://npc.collegeboard.org/app/upenn,https://npc.collegeboard.org/student/app/upenn,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
cornell-university,https://npc.collegeboard.org/app/cornell,https://npc.collegeboard.org/app/cornell,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
brown-university,https://npc.collegeboard.org/student/app/brown,https://npc.collegeboard.org/app/brown,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
dartmouth-college,https://financialaid.dartmouth.edu/cost-attendance/net-price-calculator,https://admissions.dartmouth.edu/afford/estimate-your-cost,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
california-institute-of-technology,https://www.finaid.caltech.edu/npc,https://www.finaid.caltech.edu/npc,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
purdue-university,https://www.purdue.edu/dfa/cost/calculator/,https://www.purdue.edu/dfa/cost/calculator/,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-illinois-urbana-champaign,https://secure.osfa.illinois.edu/NPC/NPC.asp,https://secure.osfa.illinois.edu/NPC/NPC.asp,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-washington,https://app.meadowfi.com/washington,https://www.washington.edu/financialaid/getting-started/net-price-calculator/,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-michigan,https://finaid.umich.edu/tools-resources/planning-tools-calculators,https://npc.collegeboard.org/app/umich,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
georgia-institute-of-technology,https://finaid.gatech.edu/costs/net-price-calculator,https://admission.gatech.edu/npc_2024/,replace,Scorecard link loads and is a calculator (page title names a calculator/estimator)
university-of-texas-at-austin,https://onestop.utexas.edu/managing-costs/cost-tuition-rates/cost-of-attendance/net-price-calculator/,https://www.onestop.utexas.edu/managing-costs/cost-tuition-rates/cost-of-attendance/net-price-calculator/,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
northeastern-university,https://npc.collegeboard.org/app/northeastern,https://npc.collegeboard.org/app/northeastern,keep (current is a working calculator),"Scorecard link is a general list of financial tools, not a single calculator"
pomona-college,https://www.pomona.edu/financial-aid/cost-attendance/myintuition-cost-calculator,https://npc.collegeboard.org/student/app/pomona,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
williams-college,https://www.williams.edu/admission-aid/costestimator/,https://npc.collegeboard.org/app/williams,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
rensselaer-polytechnic-institute,https://app.meadowfi.com/rpi,https://npc.collegeboard.org/student/app/rpi,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-alabama,https://afford.ua.edu/,https://ua.clearcostcalculator.com/student/default/netpricecalculator/survey,replace,"Alabama's actual net price calculator (ClearCostCalculator, linked from its official Cost of Attendance page); the stored afford.ua.edu/ link is a general hub page."
university-of-pittsburgh,https://pitt.clearcostcalculator.com/student/default/netpricecalculator/survey,https://pitt.studentaidcalculator.com/survey.aspx,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
tufts-university,https://npc.collegeboard.org/app/tufts,https://npc.collegeboard.org/app/tufts,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
cal-state-fullerton,,https://www.fullerton.edu/financialaid/understanding-aid/cost-of-attendance/net-price-calculator/,fill,CSUF's official net price calculator page (confirmed working).
sacramento-state,,https://www.csus.edu/administration-business-affairs/bursar/net-price-calculator.html,fill,Sacramento State's official net price calculator page (confirmed working).
cal-state-northridge,,https://www.csun.edu/financialaid/financial-aid-basics/cost-attendance/net-price-calculator,fill,CSUN's current net price calculator page (confirmed working); the address in Scorecard/earlier review was outdated and 404s.
cal-state-la,,https://www.calstatela.edu/financialaid/net-price-calculator,fill,Cal State LA's official net price calculator page (confirmed working).
san-francisco-state,,https://financialaid.sfsu.edu/net-price-calculator,fill,SF State's official net price calculator page (confirmed working).
sonoma-state,,https://financialaid.sonoma.edu/cost-attendance/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator) (loaded in the browser)
cal-state-east-bay,,,leave empty,No working calculator confirmed; the known address (csueastbay.edu/financialaid/files/images/net-price-calculator/npcalc.htm) 404s.
fresno-state,,https://studentaffairs.fresnostate.edu/financialaid/netprice/index.html,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
chico-state,,https://www.csuchico.edu/fa/cost/price-calculator.shtml,fill,Chico State's official net price calculator page (confirmed working).
cal-poly-humboldt,,https://www.humboldt.edu/calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
claremont-mckenna-college,,https://npc.collegeboard.org/student/app/claremontmckenna,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
harvey-mudd-college,,https://npc.collegeboard.org/student/app/hmc,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
scripps-college,,https://npc.collegeboard.org/student/app/scrippscollege,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
occidental-college,,https://npc.collegeboard.org/app/occidental,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
loyola-marymount-university,,https://lmu.studentaidcalculator.com/survey.aspx,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-san-diego,,https://www.sandiego.edu/admissions/undergraduate/tuition-financial-aid/net-price-calculator.php,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-san-francisco,,https://www.usfca.edu/admission/financial-aid/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
chapman-university,https://www.chapman.edu/admission/undergraduate/financing/net-price-calculator.aspx,https://www.chapman.edu/students/tuition-and-aid/financial-aid/net-cost-calculator/index.aspx,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
pepperdine-university,,https://seaver.pepperdine.edu/admission/financial-aid/undergraduate/npc,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-the-pacific,,https://pacific.clearcostcalculator.com/student/default/netpricecalculator/survey,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-redlands,,https://www.redlands.edu/npc,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
amherst-college,,https://npc.collegeboard.org/student/app/amherst,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
swarthmore-college,,https://www.swarthmore.edu/financial-aid/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
wellesley-college,,https://npc.collegeboard.org/student/app/wellesley,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
bowdoin-college,,https://npc.collegeboard.org/app/bowdoin,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
middlebury-college,,https://npc.collegeboard.org/app/middlebury,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
carleton-college,,https://www.carleton.edu/admissions/apply/afford/aid-estimators/npc/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
colgate-university,https://www.colgate.edu/admission-aid/financial-aid/estimate-your-aid,https://npc.collegeboard.org/app/colgate,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
vassar-college,,https://npc.collegeboard.org/student/app/vassar,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
hamilton-college,,https://npc.collegeboard.org/app/hamilton,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
colby-college,,https://npc.collegeboard.org/app/colby,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
bates-college,,https://npc.collegeboard.org/app/bates,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
duke-university,,https://npc.collegeboard.org/student/app/duke,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-chicago,,https://financialaid.uchicago.edu/undergraduate/resources-and-tools/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
northwestern-university,,https://npc.collegeboard.org/student/app/northwestern,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
vanderbilt-university,,https://www.vanderbilt.edu/financialaid/net-price-calculator/,fill,Vanderbilt's official net price calculator page (confirmed working); the stored Scorecard address 404s.
rice-university,,https://financialaid.rice.edu/cost-attendance/estimate-your-cost,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator) (loaded in the browser)
johns-hopkins-university,,https://npc.collegeboard.org/student/app/jhu,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
georgetown-university,,https://npc.collegeboard.org/student/app/georgetown,fill,"Georgetown's College Board-hosted net price calculator, linked from its official Consumer Information page."
worcester-polytechnic-institute,,https://www.wpi.edu/admissions/tuition-aid/financial-need/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
case-western-reserve-university,,https://case.edu/financialaid/resources/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
rochester-institute-of-technology,,https://npc.collegeboard.org/app/rit,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
stevens-institute-of-technology,,https://npc.collegeboard.org/app/stevens,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-rochester,,https://npc.collegeboard.org/app/Rochester,fill,"Rochester's College Board-hosted net price calculator, linked directly from its official cost-calculators page (that page itself is a directory and was excluded)."
university-of-north-carolina-chapel-hill,https://studentaid.unc.edu/net-price-calculator/,https://studentaid.unc.edu/net-price-calculator/,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-virginia,,https://npc.collegeboard.org/student/app/virginia,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-florida,https://npc.collegeboard.org/app/ufl,https://npc.collegeboard.org/app/ufl,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
ohio-state-university,,https://sfa.osu.edu/incoming-freshmen/about-aid/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
penn-state-university,,https://app.meadowfi.com/pennstate,fill,"Penn State's official Meadow-hosted net price calculator (confirmed working); Penn State's other public links are general tuition pages, not a net price calculator."
university-of-wisconsin-madison,,https://financialaid.wisc.edu/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
indiana-university-bloomington,,https://academics.iu.edu/cost-estimator/index.html,fill,"IU's official personalized cost estimator (""a personalized cost estimate"" based on program, campus and student type), confirmed working."
university-of-maryland,,https://financialaid.umd.edu/resources-policies/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
rutgers-university,,https://scarlethub.rutgers.edu/financial-services/tools-resources/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-arizona,,https://financialaid.arizona.edu/cost/npc,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
arizona-state-university,https://app.meadowfi.com/asu,https://app.meadowfi.com/asu,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-colorado-boulder,,https://ofa.colorado.edu/netpricecalculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
texas-am-university,,https://aggie.tamu.edu/paying-for-college/cost-of-attendance/net-price-calculator.html,fill,"Texas A&M's official net price calculator page (Aggie One Stop), confirmed working; tuition.tamu.edu is a general tuition calculator, not this."
miami-university-ohio,,https://miamioh.edu/onestop/paying-for-college/costs/net-price-calculators/index.html,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
baylor-university,,https://www.baylor.edu/sfs/netpricecalculator/npcalc.htm,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
texas-christian-university,,https://financialaid.tcu.edu/cost/net-price-calculator.php,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
southern-methodist-university,,https://www.smu.edu/enrollment-services/student-financial-services/cost-and-payment/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-denver,,https://www.du.edu/financialaid/undergraduate/calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
elon-university,,https://elon.studentaidcalculator.com/survey.aspx,fill,"Elon's official net price calculator (StudentAidCalculator-hosted), linked from its official Tuition & Aid page."
university-of-vermont,,https://www.uvm.edu/studentfinancialservices/net_price_calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-delaware,,https://www.udel.edu/apply/undergraduate-admissions/financing-your-degree/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
drexel-university,,https://drexel.edu/drexelcentral/finaid/prospective-students/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
temple-university,,https://sfs.temple.edu/sites/sfs/files/NetPrice.html,fill,the school lists its calculator at this capitalised address; the lowercase Scorecard link is a 404
university-of-connecticut,,https://financialaid.uconn.edu/pricecalc/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
clemson-university,,https://netprice.app.clemson.edu/calc/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
michigan-state-university,,https://msu.clearcostcalculator.com/student/default/netpricecalculator/survey,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-iowa,,https://admissions.uiowa.edu/finances/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-kansas,,https://tcc.ruffalonl.com/University-of-Kansas-Lawrence/Net-Price-Calculator,fill,"KU's official net price calculator, linked from its official Calculate Costs page."
new-york-university,,https://www.nyu.edu/admissions/financial-aid-and-scholarships/applying-and-planning-for-undergraduate-aid/estimate-your-cost.html,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-notre-dame,https://financialaid.nd.edu/,https://npc.collegeboard.org/app/nd,replace,"Notre Dame's College Board-hosted net price calculator, linked from its official Costs & Affordability page; the stored financialaid.nd.edu/ link is a general page."
emory-university,,https://npc.collegeboard.org/app/emory,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
washington-university-in-st-louis,https://financialaid.washu.edu/net-price-calculator/,https://financialaid.washu.edu/costs/cost-calculators/net-price-calculator,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
boston-university,,https://www.bu.edu/finaid/aid-basics/cost-of-education/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
tulane-university,,https://admission.tulane.edu/tuition-aid/net-price-calculator,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
boston-college,,https://npc.collegeboard.org/student/app/bc,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-miami,,https://npc.collegeboard.org/app/miami,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
wake-forest-university,,https://npc.collegeboard.org/student/app/wfu,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
villanova-university,,https://npc.collegeboard.org/student/app/villanova,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
university-of-georgia,,https://osfa.uga.edu/sites/default/files/npcalc.htm,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
syracuse-university,,https://www.syracuse.edu/admissions-aid/tuition-fees/undergraduate-costs/net-price-calculator/,fill,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
