"id","name","system","website","common_app_member","test_policy_now","test_policy_status","grid_test_code","plans_now","plans_status","grid_fee","grid_fee_waiver","grid_teacher_recs","grid_counselor_rec","grid_mid_year_report","grid_personal_essay_required","grid_portfolio","priority"
"georgia-institute-of-technology","Georgia Institute of Technology","Out-of-State Public","https://www.gatech.edu","yes","Test-Required","NOT yet verified","A","EA: October 15 | EA2: November 2 | RD: January 6","from Common App grid only","$75","U.S. only","","","yes","yes","","2-normal"
"university-of-texas-at-austin","University of Texas at Austin","Out-of-State Public","https://www.utexas.edu","yes","Test-Required","NOT yet verified","A","EA: October 15 | RD: December 1","from Common App grid only","$75","U.S. only","","","","yes","","2-normal"
"northeastern-university","Northeastern University","Private","https://www.northeastern.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 1 | EA: November 1 | RD: January 1","from Common App grid only","$75","Accepted","1","yes","yes","yes","","2-normal"
"pomona-college","Pomona College","Private","https://www.pomona.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 8 | ED2 (binding): January 8 | RD: January 8","from Common App grid only","$80","Accepted","2","yes","yes","yes","","2-normal"
"williams-college","Williams College","Private","https://www.williams.edu","yes","Test-Optional","verified on school page","N","ED (binding): November 15 | RD: January 5","from Common App grid only","$65","Accepted","2","yes","yes","yes","SlideRoom","done"
"rensselaer-polytechnic-institute","Rensselaer Polytechnic Institute","Private","https://www.rpi.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 1 | ED2 (binding): January 6 | EA: December 1 | RD: January 15","from Common App grid only","$0","Accepted","1","yes","yes","yes","","2-normal"
"university-of-alabama","University of Alabama","Out-of-State Public","https://www.ua.edu","yes","Test-Optional","NOT yet verified","F","Rolling: Applications open August 1; priority deadline for scholarship and housing consideration is December 4","NOT sourced","$50","Accepted","","","","","","1-high"
"university-of-pittsburgh","University of Pittsburgh","Out-of-State Public","https://www.pitt.edu","yes","Test-Optional","NOT yet verified","S","Rolling: Application window opens through July 30; December 1 priority deadline for automatic academic-scholarship consideration","NOT sourced","$55","Accepted","","","","","","1-high"
"tufts-university","Tufts University","Private","https://www.tufts.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 2 | ED2 (binding): January 4 | RD: January 4","from Common App grid only","$75","Accepted","1","yes","yes","yes","","2-normal"
"cal-state-fullerton","California State University, Fullerton","CSU","https://www.fullerton.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"sacramento-state","California State University, Sacramento","CSU","https://www.csus.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"cal-state-northridge","California State University, Northridge","CSU","https://www.csun.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"cal-state-la","California State University, Los Angeles","CSU","https://www.calstatela.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"san-francisco-state","San Francisco State University","CSU","https://sfsu.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"sonoma-state","Sonoma State University","CSU","https://www.sonoma.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"cal-state-east-bay","California State University, East Bay","CSU","https://www.csueastbay.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"fresno-state","California State University, Fresno","CSU","https://www.fresnostate.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"chico-state","California State University, Chico","CSU","https://www.csuchico.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"cal-poly-humboldt","Cal Poly Humboldt","CSU","https://www.humboldt.edu","no","Test-Optional","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"claremont-mckenna-college","Claremont McKenna College","Private","https://www.cmc.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 10 | RD: January 10","from Common App grid only","$70","Accepted","1","yes","yes","yes","","2-normal"
"harvey-mudd-college","Harvey Mudd College","Private","https://www.hmc.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15 | ED2 (binding): January 5 | RD: January 5","from Common App grid only","$70","Accepted","2","","yes","yes","","2-normal"
"scripps-college","Scripps College","Private","https://www.scrippscollege.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15 | ED2 (binding): January 8 | RD: January 8","from Common App grid only","$60","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"occidental-college","Occidental College","Private","https://www.oxy.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 1 | ED2 (binding): January 10 | RD: January 10","from Common App grid only","$0","","1","yes","yes","yes","SlideRoom","2-normal"
"loyola-marymount-university","Loyola Marymount University","Private","https://www.lmu.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 1 | ED2 (binding): January 8 | RD: January 15","from Common App grid only","$75","Accepted","1","yes","","yes","","2-normal"
"university-of-san-diego","University of San Diego","Private","https://www.sandiego.edu","yes","Test-Blind","verified on school page","I","ED (binding): November 1 | ED2 (binding): January 5 | EA: November 1 | RD: January 15","from Common App grid only","$75","Accepted","","yes","yes","yes","","done"
"university-of-san-francisco","University of San Francisco","Private","https://www.usfca.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 1 | ED2 (binding): January 15 | RD: January 15","from Common App grid only","$70","Accepted","","","yes","yes","","2-normal"
"chapman-university","Chapman University","Private","https://www.chapman.edu","yes","Test-Optional","NOT yet verified","S","EA: November 1 | ED (binding): November 1 | ED2 (binding): January 15 | RD: January 15","from Common App grid only","$70","Accepted","1","","yes","yes","","2-normal"
"pepperdine-university","Pepperdine University","Private","https://www.pepperdine.edu","yes","Test-Optional","NOT yet verified","S","EA: November 1 | ED (binding): November 1 | ED2 (binding): January 15 | RD: January 15","from Common App grid only","$70","Accepted","1","","","yes","","2-normal"
"university-of-the-pacific","University of the Pacific","Private","https://www.pacific.edu","yes","Test-Optional","NOT yet verified","N","EA: November 15 | RD: January 15","from Common App grid only","$55","Accepted","","","","yes","","2-normal"
"university-of-redlands","University of Redlands","Private","https://www.redlands.edu","yes","Test-Optional","NOT yet verified","S","EA: November 1 | EA2: December 1 | RD: January 15","from Common App grid only","$0","","1","","yes","yes","","2-normal"
"amherst-college","Amherst College","Private","https://www.amherst.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 9, 2026 | RD: January 5, 2027","from Common App grid only","$75","Accepted","2","yes","yes","yes","","2-normal"
"swarthmore-college","Swarthmore College","Private","https://www.swarthmore.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15, 2026 | ED2 (binding): January 4, 2027 | RD: January 4, 2027","from Common App grid only","$60","Accepted","2","yes","yes","yes","","2-normal"
"wellesley-college","Wellesley College","Private","https://www.wellesley.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1, 2026 | ED2 (binding): January 5, 2027 | RD: January 8, 2027","from Common App grid only","$0","","2","","yes","yes","","2-normal"
"bowdoin-college","Bowdoin College","Private","https://www.bowdoin.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15, 2026 | ED2 (binding): January 5, 2027 | RD: January 5, 2027","from Common App grid only","$70","Accepted","1","yes","yes","yes","","2-normal"
"middlebury-college","Middlebury College","Private","https://www.middlebury.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 2, 2026 | ED2 (binding): January 4, 2027 | RD: January 4, 2027","from Common App grid only","$0","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"carleton-college","Carleton College","Private","https://www.carleton.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15, 2026 | ED2 (binding): January 15, 2027 | RD: January 15, 2027","from Common App grid only","$0","","2","yes","yes","yes","","2-normal"
"colgate-university","Colgate University","Private","https://www.colgate.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1, 2026 | ED2 (binding): January 15, 2027 | RD: January 15, 2027","from Common App grid only","$60","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"vassar-college","Vassar College","Private","https://www.vassar.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15, 2026 | ED2 (binding): January 1, 2027 | RD: January 1, 2027","from Common App grid only","$65","Accepted","1","yes","yes","yes","SlideRoom","2-normal"
"hamilton-college","Hamilton College","Private","https://www.hamilton.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15, 2026 | ED2 (binding): January 4, 2027 | RD: January 4, 2027","from Common App grid only","$65","Accepted","1","yes","yes","yes","","2-normal"
"colby-college","Colby College","Private","https://www.colby.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15 | ED2 (binding): January 4 | RD: January 4","from Common App grid only","$0","","2","yes","","yes","","2-normal"
"bates-college","Bates College","Private","https://www.bates.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15, 2026 | ED2 (binding): January 10 | RD: January 10","from Common App grid only","$0","","1","yes","yes","yes","","2-normal"
"duke-university","Duke University","Private","https://www.duke.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 2 | RD: January 4","from Common App grid only","$85","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"university-of-chicago","University of Chicago","Private","https://www.uchicago.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 2 | ED2 (binding): January 4 | EA: November 2 | RD: January 4","from Common App grid only","$90","Accepted","2","","","yes","","2-normal"
"northwestern-university","Northwestern University","Private","https://www.northwestern.edu","yes","Test-Optional","NOT yet verified","F","ED (binding): November 1 | RD: January 4","from Common App grid only","$75","Accepted","1","yes","yes","","","2-normal"
"vanderbilt-university","Vanderbilt University","Private","https://www.vanderbilt.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 1 | RD: January 1","from Common App grid only","$50","Accepted","2","yes","yes","yes","","2-normal"
"rice-university","Rice University","Private","https://www.rice.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 4 | RD: January 4","from Common App grid only","$75","Accepted","2","yes","yes","yes","","2-normal"
"johns-hopkins-university","Johns Hopkins University","Private","https://www.jhu.edu","yes","Test-Required","NOT yet verified","A","ED (binding): November 1 | ED2 (binding): January 2 | RD: January 2","from Common App grid only","$70","Accepted","2","yes","yes","yes","","2-normal"
"georgetown-university","Georgetown University","Private","https://www.georgetown.edu","yes","Test-Required","NOT yet verified","A","EA: November 1 | RD: January 1","from Common App grid only","$80","Accepted","1","yes","yes","","","2-normal"
"worcester-polytechnic-institute","Worcester Polytechnic Institute","Private","https://www.wpi.edu","yes","Test-Blind","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 5 | EA: November 1 | EA2: January 5 | RD: February 1","from Common App grid only","$70","Accepted","1","yes","yes","yes","","2-normal"
"case-western-reserve-university","Case Western Reserve University","Private","https://case.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | ED (binding): November 1 | ED2 (binding): January 15 | RD: January 15","from Common App grid only","$75","Accepted","2","yes","yes","yes","The school's own system","2-normal"
"rochester-institute-of-technology","Rochester Institute of Technology","Private","https://www.rit.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 1 | EA: November 1 | RD: January 15","from Common App grid only","$65","Accepted","","yes","yes","yes","","2-normal"
"stevens-institute-of-technology","Stevens Institute of Technology","Private","https://www.stevens.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 15 | ED2 (binding): January 5 | EA: December 1 | RD: January 5","from Common App grid only","$75","Accepted","1","yes","yes","yes","","2-normal"
"university-of-rochester","University of Rochester","Private","https://www.rochester.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 5 | RD: January 5","from Common App grid only","$50","Accepted","1","yes","yes","yes","","2-normal"
"university-of-north-carolina-chapel-hill","University of North Carolina at Chapel Hill","Out-of-State Public","https://www.unc.edu","yes","Test-Optional","NOT yet verified","S","EA: October 15 | RD: January 15","from Common App grid only","$85","Accepted","1","","yes","yes","","2-normal"
"university-of-virginia","University of Virginia","Out-of-State Public","https://www.virginia.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 1 | RD: January 5","from Common App grid only","$75","Accepted","1","","yes","yes","SlideRoom","2-normal"
"university-of-florida","University of Florida","Out-of-State Public","https://www.ufl.edu","yes","Test-Required","NOT yet verified","A","ED (binding): October 15 | EA: November 1 | RD: January 15","verified on school page","$30","Accepted","","","","yes","","2-normal"
"ohio-state-university","Ohio State University","Out-of-State Public","https://www.osu.edu","yes","Test-Required","verified on school page","A","EA: November 1 | RD: January 15","verified on school page","$60","U.S. only","","","","yes","","done"
"penn-state-university","Penn State University (University Park)","Out-of-State Public","https://www.psu.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | Rolling: After November 1, reviewed on a rolling basis","verified on school page","$65","U.S. only","","","","","","2-normal"
"university-of-wisconsin-madison","University of Wisconsin-Madison","Out-of-State Public","https://www.wisc.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | RD: January 15","verified on school page","$80","Accepted","1","","","yes","","2-normal"
"indiana-university-bloomington","Indiana University Bloomington","Out-of-State Public","https://bloomington.iu.edu","yes","Test-Optional","NOT yet verified","S","EA: November 1 | RD: February 1","verified on school page","$65","U.S. only","","","","yes","","2-normal"
"university-of-maryland","University of Maryland, College Park","Out-of-State Public","https://www.umd.edu","yes","Test-Optional","NOT yet verified","F","EA: November 1 | RD: January 20","from Common App grid only","$80","U.S. only","1","yes","","yes","","2-normal"
"rutgers-university","Rutgers University-New Brunswick","Out-of-State Public","https://www.rutgers.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | RD: December 1","verified on school page","$70","Accepted","","","","yes","","2-normal"
"university-of-arizona","University of Arizona","Out-of-State Public","https://www.arizona.edu","yes","Test-Optional","NOT yet verified","S","EA: November 1 | RD: After November 1, on a space-available basis (no set date)","verified on school page","$80","Not Accepted","","","","","","2-normal"
"arizona-state-university","Arizona State University","Out-of-State Public","https://www.asu.edu","yes","Test-Optional","NOT yet verified","F","Rolling: Priority admission date November 1; regular admission date February 1","verified on school page","$85","U.S. only","","","","","","2-normal"
"university-of-colorado-boulder","University of Colorado Boulder","Out-of-State Public","https://www.colorado.edu","yes","Test-Optional","NOT yet verified","N","EA: November 15 | RD: January 15","from Common App grid only","$65","Accepted","1","","","yes","","2-normal"
"texas-am-university","Texas A&M University","Out-of-State Public","https://www.tamu.edu","yes","Test-Optional","NOT yet verified","N","RD: December 1","from Common App grid only","$75","U.S. only","","","","","","2-normal"
"miami-university-ohio","Miami University","Out-of-State Public","https://miamioh.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 1 | EA: November 1 | RD: December 1 (priority)","verified on school page","$50","Accepted","","","","yes","","2-normal"
"baylor-university","Baylor University","Private","https://www.baylor.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 1 | EA: November 1 | RD: February 1","verified on school page","$0","","","","","yes","","2-normal"
"texas-christian-university","Texas Christian University","Private","https://www.tcu.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | ED (binding): November 1 | ED2 (binding): February 1 | RD: February 1","from Common App grid only","$50","Accepted","1","yes","","yes","","2-normal"
"southern-methodist-university","Southern Methodist University","Private","https://www.smu.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 15 | EA: November 1 | RD: January 15","from Common App grid only","$0","Accepted","","yes","","yes","","2-normal"
"university-of-denver","University of Denver","Private","https://www.du.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 1 | ED2 (binding): January 15 | EA: November 1 | RD: January 15","from Common App grid only","$65","Accepted","","","","yes","","2-normal"
"elon-university","Elon University","Private","https://www.elon.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 1 | ED2 (binding): January 15 | EA: November 1 | RD: January 10","from Common App grid only","$60","Accepted","","yes","","yes","","2-normal"
"university-of-vermont","University of Vermont","Out-of-State Public","https://www.uvm.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 15 | EA: November 1 | RD: January 15","from Common App grid only","$0","Accepted","","yes","yes","yes","","2-normal"
"university-of-delaware","University of Delaware","Out-of-State Public","https://www.udel.edu","yes","Test-Optional","NOT yet verified","F","EA: November 1 | RD: January 15","from Common App grid only","$75","Accepted","","","","yes","","2-normal"
"drexel-university","Drexel University","Private","https://drexel.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 15 | EA: November 15 | RD: January 15","verified on school page","$65","Accepted","1","yes","","yes","","2-normal"
"temple-university","Temple University","Out-of-State Public","https://www.temple.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | RD: February 1","verified on school page","$55","Accepted","","","","","","2-normal"
"university-of-connecticut","University of Connecticut","Out-of-State Public","https://uconn.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | RD: January 15","from Common App grid only","$80","Accepted","","","","yes","SlideRoom","2-normal"
"clemson-university","Clemson University","Out-of-State Public","https://www.clemson.edu","yes","Test-Optional","NOT yet verified","N","EA: October 15 | RD: January 1","from Common App grid only","$70","U.S. only","","","","","","2-normal"
"michigan-state-university","Michigan State University","Out-of-State Public","https://msu.edu","yes","Test-Optional","NOT yet verified","F","EA: November 1 | RD: April 1 (priority February 1)","verified on school page","$75","U.S. only","","","","yes","","2-normal"
"university-of-iowa","University of Iowa","Out-of-State Public","https://uiowa.edu","yes","Test-Optional","NOT yet verified","S","EA: November 2 | RD: February 1","verified on school page","$55","U.S. only","","","","","","2-normal"
"university-of-kansas","University of Kansas","Out-of-State Public","https://ku.edu","yes","Test-Optional","verified on school page","S","EA: November 1 [The freshman scholarship deadline is a separate date: December 1.]","verified on school page","$40","Accepted","","","","","","done"
"new-york-university","New York University (NYU)","Private","https://www.nyu.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 1 | RD: January 5","from Common App grid only","$85","Accepted","","","","yes","SlideRoom","2-normal"
"university-of-notre-dame","University of Notre Dame","Private","https://www.nd.edu","yes","Test-Optional","NOT yet verified","N","REA: November 1 | RD: January 4","from Common App grid only","$85","Accepted","1","yes","yes","yes","SlideRoom","2-normal"
"emory-university","Emory University","Private","https://www.emory.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 1 | RD: January 1","from Common App grid only","$75","Accepted","2","yes","yes","yes","","2-normal"
"washington-university-in-st-louis","Washington University in St. Louis","Private","https://washu.edu","yes","Test-Optional","NOT yet verified","N","EA: November 2 | ED (binding): November 2 | ED2 (binding): January 4 | RD: January 4","from Common App grid only","$75","Accepted","1","yes","yes","yes","SlideRoom","2-normal"
"boston-university","Boston University","Private","https://www.bu.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 2 | ED2 (binding): January 5 | RD: January 5","from Common App grid only","$80","Accepted","1","yes","yes","yes","SlideRoom","2-normal"
"tulane-university","Tulane University","Private","https://tulane.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 10 | ED2 (binding): January 15 | RD: January 15","from Common App grid only","$0","","","yes","","yes","","2-normal"
"boston-college","Boston College","Private","https://www.bc.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 4 | RD: January 4","from Common App grid only","$85","U.S. only","2","yes","yes","yes","SlideRoom","2-normal"
"university-of-miami","University of Miami","Private","https://www.miami.edu","yes","Test-Required","NOT yet verified","S","ED (binding): November 1 | EA: November 1 | ED2 (binding): January 5 | RD: January 5","from Common App grid only","$75","Accepted","","yes","","yes","","2-normal"
"wake-forest-university","Wake Forest University","Private","https://www.wfu.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 15 | EA: November 15 | ED2 (binding): January 1 | RD: January 1","from Common App grid only","$85","Accepted","","","","yes","","2-normal"
"villanova-university","Villanova University","Private","https://www.villanova.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 15 | EA: November 1 | RD: January 15","from Common App grid only","$80","Accepted","1","","yes","yes","","2-normal"
"university-of-georgia","University of Georgia","Out-of-State Public","https://www.uga.edu","yes","Test-Required","NOT yet verified","A","EA: October 15 | RD: January 1","from Common App grid only","$70","U.S. only","","","","yes","","2-normal"
"syracuse-university","Syracuse University","Private","https://www.syracuse.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 1 | ED2 (binding): January 5 | RD: January 5","from Common App grid only","$85","Accepted","1","yes","yes","yes","","2-normal"
